materialType	materialLabel	cause	causeIri	outcomeIri	relationship	outcome	quote	doi	hazard_reduction	hazard_increase	causeComment	outcomeComment
http://purl.bioontology.org/ontology/npo#NPO_1542	zinc oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0000196	positively_correlates	apoptosis AE	Annexin V positive–PI positive (late apoptotic) cells (4.0%). Both Annexin V positive fractions significantly increased after 24 h treatment with 10 μg/cm2 (8.1% and 34.8%), 20 μg/cm2 (21.2% and 71.4%) and 40 μg/cm2 (18.8% and 75.7%) of ZnO-NPs. These results showed that ZnO-NPs induced dose-dependent apoptotic cell death.	https://doi.org/10.1016/j.taap.2010.04.012	0	1	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0000196	positively_correlates	apoptosis AE	graphene oxides with dose of less than 20 μg/mL did not exhibit toxicity to human fibroblast cells, and the dose of more than 50 μg/mL exhibits obvious cytotoxicity such as decreasing cell adhesion, inducing cell apoptosis, entering into lysosomes, mitochondrion, endoplasm, and cell nucleus. Similar phenomena were also observed in other cell lines such as human gastric cancer MGC803, human breast cancer MCF-7, MDA-MB-435, and liver cancer HepG2 cell lines (data not shown),	https://doi.org/10.1007/s11671-010-9751-6	0	1	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0000196	positively_correlates	apoptosis AE	morphology of HDF cells cultured with 20 μg/mL GO for 3 days, showing cell have unclear boundary, membrane vesicles and fragmentation, the arrow showing apoptotic cells formed nodular structure encapsulating GO	https://doi.org/10.1007/s11671-010-9751-6	0	1	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0000196	positively_correlates	apoptosis AE	Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).	https://doi.org/10.1007/s00204-010-0545-5	0	1	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0000196	positively_correlates	apoptosis AE	Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).	https://doi.org/10.1016/j.tiv.2005.06.034	0	1	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0000197	positively_correlates	necrosis AE	Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).	https://doi.org/10.1007/s00204-010-0545-5	0	1	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of necrosis
http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0000197	positively_correlates	necrosis AE	Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).	https://doi.org/10.1016/j.tiv.2005.06.034	0	1	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of necrosis
http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0001850	positively_correlates	granuloma AE	graphene oxides under low dose (0.1 mg) and middle dose (0.25 mg) did not exhibit obvious toxicity to mice, under high dose (0.4 mg) exhibited chronic toxicity such as 4.9 mice death and lung granuloma formation, mainly located in lung, liver, spleen and kidney, almost could not be cleaned by kidney. 	https://doi.org/10.1007/s11671-010-9751-6	0	1	The total quantity or strength of a substance administered at one time.	an inflammation AE that shows localized nodular inflammation found in tissues.
http://purl.bioontology.org/ontology/npo#NPO_1542	zinc oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0007476	positively_correlates	mitochondrial toxicity AE	Moreover, flow cytometric analysis has revealed an increase of H2O2 and OHradical dot intracellular levels, accompanied by a consequently decrease of O2−radical dot content, depletion of GSH level and depolarization of mitochondrial membrane potential. 	https://doi.org/10.1016/j.taap.2010.04.012	0	1	The total quantity or strength of a substance administered at one time.	This is an AE which is a condition in which the mitochondria of a body's cells become damaged or decline significantly in number.
http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0007476	positively_correlates	mitochondrial toxicity AE	A reduction in mitochondrial function of A549 cells exposed to Ag NPs for 24 h was observed in a dose-dependent manner (0–20 μg/ml) (Fig. 2a).	https://doi.org/10.1007/s00204-010-0545-5	0	1	The total quantity or strength of a substance administered at one time.	This is an AE which is a condition in which the mitochondria of a body's cells become damaged or decline significantly in number.
http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://purl.obolibrary.org/obo/OAE_0007476	positively_correlates	mitochondrial toxicity AE	A reduction in mitochondrial function of A549 cells exposed to Ag NPs for 24 h was observed in a dose-dependent manner (0–20 μg/ml) (Fig. 2a).	https://doi.org/10.1016/j.tiv.2005.06.034	0	1	The total quantity or strength of a substance administered at one time.	This is an AE which is a condition in which the mitochondria of a body's cells become damaged or decline significantly in number.
http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0004352	positively_correlates	mortality	The results showed that the immobility and mortality of D. magna progressively worsened as the doses (1–50 mg.L) and exposure time (up to 72 h) increased, displaying dose- and time-dependent patterns.severe acute toxicity only occurred at the highest GO concentration (50 mg.L) at the longest exposure time (72 h).	https://doi.org/10.1016.j.envpol.2017.12.034	0	1	The total quantity or strength of a substance administered at one time.	Quantification of the number of deaths in a population.
http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0004744	negatively_correlates	matrix metalloproteinase measurement	The results indicated that there was a significant decrease (80%) of MMP at 25 and 50 μg/ml Ag (15, 100 nm) (Fig. 5A). The qualitative mitochondrial membrane potential was also observed under fluorescence microscope stained with rhodamine 123. The brightness of the fluorescent intensity was reduced in cells exposed to Ag at 25 and 50 μg/ml that indicates a significant reduction of mitochondrial membrane potential (Fig. 5B–D).	https://doi.org/10.1016/j.tiv.2005.06.034	0	0	The total quantity or strength of a substance administered at one time.	Is a quantification of matrix metalloproteinases, Collectively, they are capable of degrading all kinds of extracellular matrix proteins, but also can process a number of bioactive molecules. They are known to be involved in the cleavage of cell surface receptors, the release of apoptotic ligands (such as the FAS ligand), and chemokine/cytokine in/activation.[3] MMPs are also thought to play a major role on cell behaviors such as cell proliferation, migration (adhesion/dispersion), differentiation, angiogenesis, apoptosis, and host defense.
http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0004808	positively_correlates	L lactate dehydrogenase measurement	Compared with control group, incubation of platelets with 25 μg/ml SiNP caused a significant increase in LDH activity (P < 0.05).	https://pubmed.ncbi.nlm.nih.gov/26069526	0	1	The total quantity or strength of a substance administered at one time.	Is a quantification of L lactate dehydrodgenase, typically measured in serum, used as a marker of tissue breakdown as LDH is abundant in red blood cells and can function as a marker for hemolysis
http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0004808	positively_correlates	L lactate dehydrogenase measurement	Similarly, the activity of lactate dehydrogenase (as a marker of cell membrane integrity) was significantly increased by SiNP.	https://pubmed.ncbi.nlm.nih.gov/26069526	0	1	The total quantity or strength of a substance administered at one time.	Is a quantification of L lactate dehydrodgenase, typically measured in serum, used as a marker of tissue breakdown as LDH is abundant in red blood cells and can function as a marker for hemolysis
http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0004808	positively_correlates	L lactate dehydrogenase measurement	The results demonstrated that exposure to Ag nanoparticles for 24 h resulted in concentration-dependent increase in LDH leakage and exhibited a significant (p < 0.05) cytotoxicity at 10–50 μg/ml (Fig. 1B). It was noted that there is a statistically significant difference between different silver particle sizes of 100 and 15 nm, where the 100 nm particles showed higher toxicity at 25 and 50 μg/ml.	https://doi.org/10.1016/j.tiv.2005.06.034	0	1	The total quantity or strength of a substance administered at one time.	Is a quantification of L lactate dehydrodgenase, typically measured in serum, used as a marker of tissue breakdown as LDH is abundant in red blood cells and can function as a marker for hemolysis
http://purl.bioontology.org/ontology/npo#NPO_1542	zinc oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0004811	positively_correlates	interleukin-8 measurement	As shown in Figs. 6A and B, in the supernatants of untreated cells there was a low content of IL-8. When the cells were treated with the lower dose (3 µg/cm2 for 24 h and 48 h) of ZnO-NPs a significant IL-8 release was revealed (Fig. 6A). Exposure to the higher ZnO-NPs concentration induced an amplified chemokine secretion. IL-8 release by cells treated with TiO2 at 3 µg/cm2 was comparable with control ones (Fig. 6B). The exposure of LoVo to 5 µg/cm2 of TiO2 particles stimulated a significant release of IL-8. The experimental results suggest that the release of IL-8 induced by TiO2 particles is due to the presence of a percentage of particles smaller than 100 nm in size distribution. It has been demonstrated that TiO2 nanoparticles induce oxidative stress and release of IL8	https://doi.org/10.1016/j.taap.2010.04.012	0	1	The total quantity or strength of a substance administered at one time.	Is a quantification of interleukin-8, is a chemokine produced by macrophages and other cell types such as epithelial cells. It is also synthesized by endothelial cells, which store IL-8 in their storage vesicles, the Weibel-Palade bodies. IL-8 is secreted and is an important mediator of the immune reaction in the innate immune system response.
http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0005119	positively_correlates	antioxidant measurement	Compared with the control group, the antioxidant activity in platelets was significantly increased following the incubation of platelets with SiNP 25 μg/ml (P < 0.0001).	https://pubmed.ncbi.nlm.nih.gov/26069526	0	0	The total quantity or strength of a substance administered at one time.	quantification of some antioxidant in a biological sample
http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0005119	positively_correlates	antioxidant measurement	Total antioxidant activity and lipid platelets vulnerability to in vitro peroxidation (measured by malondialdehyde production) were significantly increased after SiNP exposure.	https://pubmed.ncbi.nlm.nih.gov/26069526	0	0	The total quantity or strength of a substance administered at one time.	quantification of some antioxidant in a biological sample
http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0008353	negatively_correlates	cellular adhesion molecule measurement	GO acting on human fibroblast cells exerts toxicity at doses greater than 50 μg/mL, followed by a decrease in cell adhesion and promotion of cell apoptosis.46	https://doi.org/10.1021/tx400385x	0	0	The total quantity or strength of a substance administered at one time.	quantification of the amount cellular adhesion molecule in a sample
http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	http://www.ebi.ac.uk/efo/EFO_0000428	http://www.ebi.ac.uk/efo/EFO_0008353	positively_correlates	cellular adhesion molecule measurement	graphene oxides with dose of less than 20 μg/mL did not exhibit toxicity to human fibroblast cells, and the dose of more than 50 μg/mL exhibits obvious cytotoxicity such as decreasing cell adhesion, inducing cell apoptosis, entering into lysosomes, mitochondrion, endoplasm, and cell nucleus.	https://doi.org/10.1007/s11671-010-9751-6	0	0	The total quantity or strength of a substance administered at one time.	quantification of the amount cellular adhesion molecule in a sample
