erm	materialType	materialLabel	cause	relationship	outcome	quote	doi	hazard_reduction	causeComment	outcomeComment
https://nanocommons.github.io/identifiers/registry#ERM:467463	http://purl.enanomapper.net/onto/ENM_0218062	TiO2@SiO2 nanocomposite	size	positively_correlates	negative regulation of cytoskeleton organization	The size and physical properties of NPs are partly responsible for the NPs toxicity, with particles with smaller size and higher stability being more interactive with pulmonary cells.	https://doi.org/10.3390/nano9071041	0	A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.	Any process that stops, prevents, or reduces the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures.
https://nanocommons.github.io/identifiers/registry#ERM:192678	http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	temperature	does_not_correlate	import across plasma membrane	The internalization of 350 nm and 2 μm GO was proved an energy-dependent process, as remarkable decreases (∼85% compared with cells at 37 °C) occurred for GO under low-energy incubation (at 4 °C).	https://doi.org/10.1016/j.biomaterials.2012.02.021	0	A physical quality of the thermal energy of a system.	The directed movement of some substance from outside of a cell, across the plasma membrane and into the cytosol.
https://nanocommons.github.io/identifiers/registry#ERM:789398	http://purl.bioontology.org/ontology/npo#NPO_1542	zinc oxide nanoparticle	dose	positively_correlates	apoptosis AE	Because cellular metabolic activity seems affected by nanoparticles, while the plasma membrane of some cells remained relatively intact, the possibility of apoptosis caused by nanoparticles was assessed at lower concentrations. Flow cytometer analysis to quantify the number of cells in apoptosis vs. necrosis confirmed that apoptosis took place with exposure to ZnO. A small percentage of apoptotic cells were observed at a concentration of 25 μg/mL. About 15% of apoptotic cells and <2% of necrotic cells were observed at a concentration of 50 μg/mL. At a concentration of 10 μg/mL, no apoptosis was observed.	https://doi.org/10.1080/10934520600966177	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
https://nanocommons.github.io/identifiers/registry#ERM:192681	http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	#N/A	apoptosis AE	morphology of HDF cells cultured with 20 μg/mL GO for 3 days, showing cell have unclear boundary, membrane vesicles and fragmentation, the arrow showing apoptotic cells formed nodular structure encapsulating GO	https://doi.org/10.1007.s11671-010-9751-6	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
https://nanocommons.github.io/identifiers/registry#ERM:725616	http://purl.enanomapper.org/onto/ENM_9000005	aluminium oxide nanoparticle	dose	correlates	apoptosis AE	No statistically significant increase in the percentage of apoptotic or necrotic cells was observed in the cultures treated with aluminium oxide nanoparticles compared to the control (p = 0.370 for L929 cells and p = 0.108 for BJ cells) (Table 2). The percentages of L929 cells in early and late apoptosis did not exceed 8.26% and 6.0%, respectively.	https://doi.org/10.1016/j.tiv.2011.07.010	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
https://nanocommons.github.io/identifiers/registry#ERM:834785	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	correlates	apoptosis AE	Since apoptotic cells were virtually absent irrespective of the  treatment conditions applied, we conclude that SNP-mediated cell death occurs via non-apoptotic  pathways (data not shown).	https://doi.org/10.1088/1742-6596/304/1/012030	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
https://nanocommons.github.io/identifiers/registry#ERM:125149	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	correlates	apoptosis AE	Since apoptotic cells were virtually absent irrespective of the  treatment conditions applied, we conclude that SNP-mediated cell death occurs via non-apoptotic  pathways (data not shown).	https://doi.org/10.1088/1742-6596/304/1/012030	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
https://nanocommons.github.io/identifiers/registry#ERM:789399	http://purl.bioontology.org/ontology/npo#NPO_1542	zinc oxide nanoparticle	dose	positively_correlates	apoptosis AE	Annexin V positive–PI positive (late apoptotic) cells (4.0%). Both Annexin V positive fractions significantly increased after 24 h treatment with 10 μg/cm2 (8.1% and 34.8%), 20 μg/cm2 (21.2% and 71.4%) and 40 μg/cm2 (18.8% and 75.7%) of ZnO-NPs. These results showed that ZnO-NPs induced dose-dependent apoptotic cell death.	https://doi.org/10.1016/j.taap.2010.04.012	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
https://nanocommons.github.io/identifiers/registry#ERM:037059	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	positively_correlates	apoptosis AE	Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).	https://doi.org/10.1007/s00204-010-0545-5	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
https://nanocommons.github.io/identifiers/registry#ERM:037059	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	positively_correlates	apoptosis AE	Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).	https://doi.org/10.1016/j.tiv.2005.06.034	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of apoptosis, a form of programmed cell death that occurs in multicellular organisms.
https://nanocommons.github.io/identifiers/registry#ERM:037059	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	positively_correlates	necrosis AE	Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).	https://doi.org/10.1007/s00204-010-0545-5	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of necrosis
https://nanocommons.github.io/identifiers/registry#ERM:037059	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	positively_correlates	necrosis AE	Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).	https://doi.org/10.1016/j.tiv.2005.06.034	0	The total quantity or strength of a substance administered at one time.	a cell death AE that has an outcome of necrosis
https://nanocommons.github.io/identifiers/registry#ERM:192681	http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	positively_correlates	granuloma AE	graphene oxides under low dose (0.1 mg) and middle dose (0.25 mg) did not exhibit obvious toxicity to mice, under high dose (0.4 mg) exhibited chronic toxicity such as 4.9 mice death and lung granuloma formation, mainly located in lung, liver, spleen and kidney, almost could not be cleaned by kidney.	https://doi.org/10.1007.s11671-010-9751-6	0	The total quantity or strength of a substance administered at one time.	an inflammation AE that shows localized nodular inflammation found in tissues.
https://nanocommons.github.io/identifiers/registry#ERM:789399	http://purl.bioontology.org/ontology/npo#NPO_1542	zinc oxide nanoparticle	dose	positively_correlates	mitochondrial toxicity AE	Moreover, flow cytometric analysis has revealed an increase of H2O2 and OHradical dot intracellular levels, accompanied by a consequently decrease of O2−radical dot content, depletion of GSH level and depolarization of mitochondrial membrane potential.	https://doi.org/10.1016/j.taap.2010.04.012	0	The total quantity or strength of a substance administered at one time.	This is an AE which is a condition in which the mitochondria of a body's cells become damaged or decline significantly in number.
https://nanocommons.github.io/identifiers/registry#ERM:037059	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	positively_correlates	mitochondrial toxicity AE	A reduction in mitochondrial function of A549 cells exposed to Ag NPs for 24 h was observed in a dose-dependent manner (0–20 μg/ml) (Fig. 2a).	https://doi.org/10.1007/s00204-010-0545-5	0	The total quantity or strength of a substance administered at one time.	This is an AE which is a condition in which the mitochondria of a body's cells become damaged or decline significantly in number.
https://nanocommons.github.io/identifiers/registry#ERM:037059	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	positively_correlates	mitochondrial toxicity AE	A reduction in mitochondrial function of A549 cells exposed to Ag NPs for 24 h was observed in a dose-dependent manner (0–20 μg/ml) (Fig. 2a).	https://doi.org/10.1016/j.tiv.2005.06.034	0	The total quantity or strength of a substance administered at one time.	This is an AE which is a condition in which the mitochondria of a body's cells become damaged or decline significantly in number.
https://nanocommons.github.io/identifiers/registry#ERM:192655	http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	positively_correlates	mortality	The results showed that the immobility and mortality of D. magna progressively worsened as the doses (1–50 mg.L) and exposure time (up to 72 h) increased, displaying dose- and time-dependent patterns.severe acute toxicity only occurred at the highest GO concentration (50 mg.L) at the longest exposure time (72 h).	https://doi.org/10.1016.j.envpol.2017.12.034	0	The total quantity or strength of a substance administered at one time.	Quantification of the number of deaths in a population.
https://nanocommons.github.io/identifiers/registry#ERM:037058	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	negatively_correlates	matrix metalloproteinase measurement	The results indicated that there was a significant decrease (80%) of MMP at 25 and 50 μg/ml Ag (15, 100 nm) (Fig. 5A). The qualitative mitochondrial membrane potential was also observed under fluorescence microscope stained with rhodamine 123. The brightness of the fluorescent intensity was reduced in cells exposed to Ag at 25 and 50 μg/ml that indicates a significant reduction of mitochondrial membrane potential (Fig. 5B–D).	https://doi.org/10.1016/j.tiv.2005.06.034	0	The total quantity or strength of a substance administered at one time.	Is a quantification of matrix metalloproteinases, Collectively, they are capable of degrading all kinds of extracellular matrix proteins, but also can process a number of bioactive molecules. They are known to be involved in the cleavage of cell surface receptors, the release of apoptotic ligands (such as the FAS ligand), and chemokine/cytokine in/activation.[3] MMPs are also thought to play a major role on cell behaviors such as cell proliferation, migration (adhesion/dispersion), differentiation, angiogenesis, apoptosis, and host defense.
https://nanocommons.github.io/identifiers/registry#ERM:857785	http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	positively_correlates	L lactate dehydrogenase measurement	Compared with control group, incubation of platelets with 25 μg/ml SiNP caused a significant increase in LDH activity (P < 0.05).	https://pubmed.ncbi.nlm.nih.gov/26069526	0	The total quantity or strength of a substance administered at one time.	Is a quantification of L lactate dehydrodgenase, typically measured in serum, used as a marker of tissue breakdown as LDH is abundant in red blood cells and can function as a marker for hemolysis
https://nanocommons.github.io/identifiers/registry#ERM:857785	http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	positively_correlates	L lactate dehydrogenase measurement	Similarly, the activity of lactate dehydrogenase (as a marker of cell membrane integrity) was significantly increased by SiNP.	https://pubmed.ncbi.nlm.nih.gov/26069526	0	The total quantity or strength of a substance administered at one time.	Is a quantification of L lactate dehydrodgenase, typically measured in serum, used as a marker of tissue breakdown as LDH is abundant in red blood cells and can function as a marker for hemolysis
https://nanocommons.github.io/identifiers/registry#ERM:789398	http://purl.bioontology.org/ontology/npo#NPO_1542	zinc oxide nanoparticle	dose	positively_correlates	L lactate dehydrogenase measurement	a significant increase in LDH leakage was observed with exposure to ZnO	https://doi.org/10.1080/10934520600966177	0	The total quantity or strength of a substance administered at one time.	Is a quantification of L lactate dehydrodgenase, typically measured in serum, used as a marker of tissue breakdown as LDH is abundant in red blood cells and can function as a marker for hemolysis
https://nanocommons.github.io/identifiers/registry#ERM:037058	http://purl.bioontology.org/ontology/npo#NPO_1892	silver nanoparticle	dose	positively_correlates	L lactate dehydrogenase measurement	The results demonstrated that exposure to Ag nanoparticles for 24 h resulted in concentration-dependent increase in LDH leakage and exhibited a significant (p < 0.05) cytotoxicity at 10–50 μg/ml (Fig. 1B). It was noted that there is a statistically significant difference between different silver particle sizes of 100 and 15 nm, where the 100 nm particles showed higher toxicity at 25 and 50 μg/ml.	https://doi.org/10.1016/j.tiv.2005.06.034	0	The total quantity or strength of a substance administered at one time.	Is a quantification of L lactate dehydrodgenase, typically measured in serum, used as a marker of tissue breakdown as LDH is abundant in red blood cells and can function as a marker for hemolysis
https://nanocommons.github.io/identifiers/registry#ERM:857785	http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	correlates	antioxidant measurement	Compared with the control group, the antioxidant activity in platelets was significantly increased following the incubation of platelets with SiNP 25 μg/ml (P < 0.0001).	https://pubmed.ncbi.nlm.nih.gov/26069526	0	The total quantity or strength of a substance administered at one time.	quantification of some antioxidant in a biological sample
https://nanocommons.github.io/identifiers/registry#ERM:857785	http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	positively_correlates	antioxidant measurement	Total antioxidant activity and lipid platelets vulnerability to in vitro peroxidation (measured by malondialdehyde production) were significantly increased after SiNP exposure.	https://pubmed.ncbi.nlm.nih.gov/26069526	0	The total quantity or strength of a substance administered at one time.	quantification of some antioxidant in a biological sample
https://nanocommons.github.io/identifiers/registry#ERM:192681	http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	negatively_correlates	cellular adhesion molecule measurement	graphene oxides with dose of less than 20 μg/mL did not exhibit toxicity to human fibroblast cells, and the dose of more than 50 μg/mL exhibits obvious cytotoxicity such as decreasing cell adhesion, inducing cell apoptosis, entering into lysosomes, mitochondrion, endoplasm, and cell nucleus.	https://doi.org/10.1007.s11671-010-9751-6	0	The total quantity or strength of a substance administered at one time.	quantification of the amount cellular adhesion molecule in a sample
https://nanocommons.github.io/identifiers/registry#ERM:857785	http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	correlates	oxidative stress biomarker measurement	The incubation of platelets with SiNP caused a significant increase in MDA concentrations (Figure 4). The effect was statistically significant at 5 μg/ml (P < 0.0001) and 25 μg/ml (P < 0.0001).	https://pubmed.ncbi.nlm.nih.gov/26069526	0	The total quantity or strength of a substance administered at one time.	Quantification of the amount of some oxidative stress biomarker in a sample. Indicators of oxidative stress include damaged DNA bases, protein oxidation products, and lipid peroxidation products. They can be measured in the blood, urine or skin.
https://nanocommons.github.io/identifiers/registry#ERM:857785	http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	positively_correlates	oxidative stress biomarker measurement	The incubation of platelets with SiNP caused a significant increase in MDA concentrations (Figure 4). The effect was statistically significant at 5 μg/ml (P < 0.0001) and 25 μg/ml (P < 0.0001).	https://pubmed.ncbi.nlm.nih.gov/26069526	0	The total quantity or strength of a substance administered at one time.	Quantification of the amount of some oxidative stress biomarker in a sample. Indicators of oxidative stress include damaged DNA bases, protein oxidation products, and lipid peroxidation products. They can be measured in the blood, urine or skin.
https://nanocommons.github.io/identifiers/registry#ERM:857785	http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	correlates	calcium ion transmembrane import into cytosol	Compared with the control group, the incubation of platelets with SiNP induced a significant increase in platelet cytosolic calcium concentration. The level of significance was achieved at 25 μg/ml (P < 0.05).	https://pubmed.ncbi.nlm.nih.gov/26069526	0	The total quantity or strength of a substance administered at one time.	A process in which a calcium ion is transported from one side of a membrane to the other into the cytosol by means of some agent such as a transporter or pore.
https://nanocommons.github.io/identifiers/registry#ERM:857785	http://purl.bioontology.org/ontology/npo#NPO_1373	silica nanoparticle	dose	positively_correlates	calcium ion transmembrane import into cytosol	Additionally, SiNP exposure significantly increased the cytosolic calcium concentration.	https://pubmed.ncbi.nlm.nih.gov/26069526	0	The total quantity or strength of a substance administered at one time.	A process in which a calcium ion is transported from one side of a membrane to the other into the cytosol by means of some agent such as a transporter or pore.
https://nanocommons.github.io/identifiers/registry#ERM:192655	http://purl.enanomapper.org/onto/ENM_0000117	graphene oxide nanoparticle	dose	negatively_correlates	mobility decreased AE	The results showed that the immobility and mortality of D. magna progressively worsened as the doses (1–50 mg.L) and exposure time (up to 72 h) increased, displaying dose- and time-dependent patterns. severe acute toxicity only occurred at the highest GO concentration (50 mg.L) at the longest exposure time (72 h).	https://doi.org/10.1016.j.envpol.2017.12.034	1	The total quantity or strength of a substance administered at one time.	mobility decreased AE is a nervous system AE that results in difficulty in movement leading to less ability to move part(s) of body
